"","IndicatorID","UnitID","GridID","Period","ES","SD","N","N_OBS","GTC","STC"
"2106",2,63,1499,20132013,0.55,NA,1,2,0,0
"2107",2,63,1500,20072013,0.556984907509802,0.0705201733785311,7,118,57.1428571428571,0
"2108",2,63,1501,20082013,0.534578042328042,0.0796885033024149,4,53,62.5,0
"2109",2,63,1538,20082013,0.6375,0.11667261889578,2,5,0,0
"2110",2,63,1539,20062013,0.545377272727273,0.116835071343223,5,63,60,0
"2111",2,63,1540,20082013,0.521511111111111,0.0353900313787323,5,42,40,0
"2112",2,63,1542,20062014,0.555705480107654,0.130507820948542,9,135,44.4444444444444,0
"2113",2,63,1543,20062014,0.534608026535884,0.0847575508289617,9,219,44.4444444444444,0
"2114",2,63,1544,20082013,0.513407936507936,0.0594896842920099,5,36,30,0
"2115",2,63,1577,20122012,0.605,NA,1,2,0,0
"2116",2,63,1578,20062013,0.569302590531162,0.127776633114677,7,186,57.1428571428571,0
"2117",2,63,1579,20092009,0.5,NA,1,2,0,0
"2118",2,63,1580,20082013,0.678333333333333,0.0877971146071062,3,6,0,0
"2119",2,63,1581,20062014,0.530349206349206,0.0840324618735288,9,48,27.7777777777778,0
"2120",2,63,1615,20132013,0.57,NA,1,3,0,0
"2121",2,63,1616,20082013,0.545473424369748,0.0635066673873502,4,57,75,0
"2122",2,63,1617,20082013,0.551915476190476,0.0543155189823706,5,49,60,0
"2123",2,63,1618,20072014,0.550254821159233,0.108687935204105,8,71,43.75,0
"2124",2,63,1619,20082013,0.549263888888889,0.122370393140187,4,25,25,0
"2125",2,63,1620,20062014,0.481253487253487,0.103041687798892,9,74,50,22.2222222222222
"2126",2,63,1621,20062014,0.526759259259259,0.07313710066599,9,35,11.1111111111111,11.1111111111111
"2127",2,63,1655,20132013,0.563333333333333,NA,1,3,0,0
"2128",2,63,1656,20132013,0.5775,NA,1,4,0,0
"2129",2,63,1657,20072014,0.543484848484848,0.118829422234619,8,36,18.75,0
"2130",2,63,1658,20062014,0.507496873496873,0.0848178359403428,9,64,33.3333333333333,11.1111111111111
"2131",2,63,1659,20082013,0.486785714285714,0.0722747497801432,4,17,25,0
"2132",2,63,1696,20072014,0.541666666666667,0.0615358973824764,6,8,0,0
"2133",2,63,1697,20062014,0.606258617925285,0.116473976003941,9,61,22.2222222222222,0
"2134",2,63,1735,20082013,0.526666666666667,0.0757187779440036,3,5,0,0
"2135",4,63,1387,20092013,8.24821428571429,0.800545891557627,2,3,0,0
"2136",4,63,1499,20062006,7.61428571428571,NA,1,2,0,0
"2137",4,63,1500,20062009,7.33809523809524,0.694046598055281,3,18,33.3333333333333,0
"2138",4,63,1501,20062007,7.2,1.19198000257161,2,6,0,0
"2139",4,63,1578,20082012,8.17857142857143,1.00005101910669,2,2,0,0
"2140",4,63,1621,20062014,7.71581632653061,0.377175419899141,7,14,0,0
"2141",4,63,1695,20102014,7.34385714285714,0.212588276982067,5,11,0,0
"2142",7,63,1578,20122012,9,NA,1,1,0,0
"2143",7,63,1621,20092012,10.75,2.39791576165636,4,4,0,0
"2144",7,63,1695,20102014,10.375,4.02854398842394,4,4,0,0
"2145",301,63,1387,20082009,1.15791666666667,0.116083363244792,2,5,0,0
"2146",301,63,1500,20082008,1.69,NA,1,5,0,0
"2147",301,63,1501,20082012,1.80925,1.06296098823052,3,10,0,0
"2148",301,63,1578,20072012,1.61003252635046,1.0246215245713,4,262,25,0
"2149",301,63,1581,20062007,1.63308943089431,0.046795521941939,2,124,50,0
"2150",301,63,1582,20072007,1.34753086419753,NA,1,81,100,0
"2151",301,63,1615,20072007,2.50491071428571,NA,1,112,100,0
"2152",301,63,1616,20072007,2.00162436548223,NA,1,197,100,0
"2153",301,63,1617,20072007,1.4518045112782,NA,1,399,100,0
"2154",301,63,1618,20072007,1.72227871939736,NA,1,531,100,0
"2155",301,63,1619,20072007,1.71135135135135,NA,1,74,100,0
"2156",301,63,1620,20062014,1.38490543993478,0.522011242033491,9,834,11.1111111111111,0
"2157",301,63,1621,20062014,1.68242494921081,0.910445241171026,9,270,11.1111111111111,0
"2158",301,63,1656,20072007,2.21545454545455,NA,1,143,100,0
"2159",301,63,1657,20072007,2.28017482517483,NA,1,572,100,0
"2160",301,63,1658,20062014,2.11931256181998,1.54484901580313,9,348,11.1111111111111,0
"2161",301,63,1659,20072007,0.366377952755906,NA,1,127,100,0
"2162",301,63,1695,20072014,1.74672710622711,1.74669594667145,4,199,25,0
"2163",301,63,1696,20072007,0.29009900990099,NA,1,404,100,0
"2164",301,63,1734,20072007,3.8775,NA,1,8,0,0
"2165",301,63,1735,20072010,1.01597883597884,0.459762811255531,3,129,33.3333333333333,0
"2166",1,64,4100,20092011,20.805,1.78898015640197,2,2,0,0
"2167",1,64,4174,20062013,19.282037037037,12.2315266940595,6,38,33.3333333333333,0
"2168",1,64,4175,20082011,17.45,6.63627154357023,3,3,0,0
"2169",1,64,4250,20092011,18.7733333333333,2.10869101050338,3,8,0,0
"2170",1,64,4251,20092011,14.3033333333333,3.47079721869966,3,4,0,0
"2171",1,64,4326,20082014,11.2954761904762,3.26994035429317,7,12,0,0
"2172",1,64,4401,20082014,17.0815277777778,5.26381126225377,6,13,0,0
